LAVORO,ITA,SIC,EML,NAP
accademico,0,0,2,0
addetto alle pulizie,0,1,0,0
agricoltore,30,25,12,15
allenatore,30,30,16,30
amministratore,0,2,36,32
analista,0,1,6,0
architetto,0,0,0,0
artista,30,60,30,30
assistente,30,4,29,24
astronauta,0,0,0,0
atleta,30,30,17,30
attore,60,60,42,60
attrice,30,0,28,30
autista,0,25,0,15
autore,0,0,0,0
avvocato,0,0,1,0
broker,0,0,0,0
cantante,0,0,0,0
chef,30,30,0,0
chirurgo,0,0,0,0
chitarrista,0,0,0,0
comandante,0,0,1,0
comico,0,0,27,0
compositore,0,0,0,0
consulente,30,32,57,41
contabile,0,1,4,2
cuoco,0,30,30,30
curatore,0,0,0,0
dentista,0,0,0,0
designer,0,0,1,0
diplomatico,0,0,8,0
dirigente,0,0,22,4
disegnatore,0,0,0,0
economista,0,0,0,0
editore,0,0,0,0
esattore,0,0,0,0
fotografo,60,30,27,60
funzionario,0,0,0,1
giornalista,30,0,6,0
giudice,0,0,0,0
guardia,0,0,0,0
impiegato,0,4,3,11
infermiere,0,0,0,0
ingegnere,0,0,5,1
insegnante,0,0,2,0
investigatore,0,0,2,0
ispettore,0,0,1,0
istruttore,30,3,16,34
legislatore,0,0,0,0
manager,0,31,47,4
meccanico,30,25,12,15
medico,0,0,8,0
medico,0,0,8,0
membro del clero,0,0,0,0
ministro,0,0,0,0
modello,30,60,42,60
musicista,60,60,28,60
operatore,30,2,12,1
pilota,30,30,3,0
poeta,0,0,0,0
politico,0,0,0,0
prete,0,0,0,0
produttore,0,0,0,0
professore,30,30,42,30
proprietario,0,0,0,0
psichiatra,0,0,0,0
psicologo,0,0,7,0
regista,0,0,0,0
revisore dei conti,0,0,31,0
ricercatore,0,0,8,0
sarto,0,0,28,0
scienziato,0,0,0,0
scrittore,30,30,3,60
segretario,0,0,0,0
soldato,30,0,0,0
storico,30,30,1,30
studente,0,0,1,0
supervisore,30,28,15,14
sviluppatore,0,0,5,0
tecnico,0,1,1,9
tutor,0,0,0,0
veterinario,0,0,0,0